0,1,2,3,4,5,6,7,8,9,10
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998614574674425
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9997063142437592
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9753253796095445,1.0,1.0
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9977578475336323,1.0
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9972975976696167
0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.9991474850809889,1.0,1.0,0.9999112845990064
0.5,1.0,1.0,1.0,1.0,1.0,0.9951690821256038,0.9991386735572783,1.0,0.9997871887635668,0.9940528249081686
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9997328346246327
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999554565701559,0.9998068938881916
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999181937172775
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9974342527261065,0.9998686673014414
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999720005599888
0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9607538573055815
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9985882352941177,0.9975892319024978
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9603706082010824
0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.9846153846153847,1.0,1.0,0.0
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9992644354542111,0.9994329458463284
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9933712121212122,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9994753410283316,1.0,1.0
-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.998220640569395,1.0,1.0,1.0
-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9994266055045872,0.9991334488734835,1.0
-1.0,1.0,1.0,1.0,1.0,1.0,0.9821428571428571,1.0,0.0,1.0,0.9999510715334181
-1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9996108949416342,1.0
-1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9805238415043653,1.0
