0,1,2,3,4,5,6,7,8,9,10
1312,1312,1218,1281,1140,1687,1296,3562,7374,1328,-1
1156,1296,1328,2984,1312,1328,1312,4015,6062,12765,-1
1296,1312,1281,1296,1109,1328,2953,3937,6656,12968,-1
1297,1265,1296,1812,1312,2796,3968,4343,4999,11531,-1
1328,1234,1187,2140,1125,2625,2968,5687,5843,13609,-1
1281,1234,1218,1859,2015,2343,3078,3375,6093,19687,-1
1296,1203,1218,1749,1953,2484,2249,3749,3609,9656,-1
1281,1203,1812,1765,1625,2171,2374,4656,6718,7968,-1
1281,1218,1609,1781,2000,2124,3250,4796,6031,20500,-1
1281,1234,1312,1828,1906,2468,3187,3890,6062,8374,-1
1265,1093,1187,1734,2296,2171,2937,4390,7140,18050,-1
1328,1203,1312,1703,2218,2578,2906,5046,5671,17562,-1
1296,1203,1296,1781,1953,2125,2281,5218,5875,1265,-1
1312,1187,1125,1328,1921,2046,2484,3656,4953,1343,-1
1375,1203,1140,1312,2156,2718,2984,4531,2421,1249,-1
1312,1187,1343,1328,1968,1297,3203,5874,6999,1203,-1
1312,1031,1296,1296,1906,2625,3718,7765,7437,73640,-1
1312,1187,1296,1312,1312,1296,3937,1234,1234,16640,-1
1296,1249,1312,1218,1281,3203,2828,1046,1218,8234,-1
1125,1218,1296,1218,1296,2640,4140,1218,1187,16156,-1
1281,1203,1250,1234,1343,1281,4937,1234,1265,7265,-1
1328,1578,1296,1203,1343,3718,1203,1234,1218,21906,-1
1312,1281,1297,1218,1281,3468,1046,1218,1218,11343,-1
1328,1296,1296,1187,1328,2265,1203,1203,1234,7734,-1
1296,1296,1250,1218,1187,3046,1218,1234,1218,17578,-1
1312,1281,1312,1234,1218,2156,1218,1265,1218,14327,-1
1296,1312,1265,1062,1171,2968,3296,4218,16453,20468,-1
1140,1281,1296,2078,1203,2890,3703,8375,20624,18687,-1
1312,1496,1328,2203,1234,3031,4093,4843,12140,9874,-1
1296,1531,1296,1312,1203,2921,1281,3562,1281,14468,-1
1328,1328,1156,1765,1218,1937,1281,2343,6874,10234,-1
1296,1281,1281,1906,1218,2640,1281,7781,1296,9578,-1
1312,1265,1281,1781,1202,1828,1328,4296,8375,15734,-1
1312,1296,1281,1687,1234,2296,1328,4796,5624,28437,-1
1312,1281,1296,2187,1218,2609,5453,5171,12453,12484,-1
1312,1875,1296,1687,1218,2687,3406,6359,7703,17982,-1
1312,1859,1312,1312,1187,2390,2796,3718,8031,12828,-1
1281,1531,1281,1281,1218,3906,4984,2656,9312,27515,-1
1312,1296,1281,1296,1312,1281,3250,3484,4593,88640,-1
1124,1281,1281,1156,1281,1296,3390,1312,5640,9812,-1
