0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
219,584,314,1872,14756,2356,1525,574,3393,981,389,450,1418,1656,647,5362,861,1253,5914,2458,3025,2960,4536,1466,4322,2204,4154,6496,1413,610,1586,24954,1043,953,25922,25175,1769
208,361,771,387,2505,2133,2378,565,1322,440,365,442,648,738,931,5155,5371,8940,2003,286,2871,2961,9824,4287,1648,1005,20679,1869,1280,3881,1109,5224,89222,887,18893,30279,13605
200,913,1602,503,260,2302,2363,12672,542,414,408,449,3197,1355,6053745,396,949,2611,2077,522,2371,1183,550,3934,617,2321,747,6370,1143,13719,5743,25063,54354,1086,798,3787,8954
13184,332,792,582,2504,2298,1680,510,678,348,910,441,458,804,2753,401,336,1260,2026,2197,2342,3306,290,10499,3244,6620,18136,6413,4128,22607,1259,22962,14770,1107,24574,96129,604
195,52294,624,1415,2707,2479,2390,538,2614,509,350,351,1421,628,2644,4800,4807,1637,2145,2366,2333,1386,1507,4477,2257,10685,3327,2022,1210,17082,710,23354,91055,26482,1046,901,2196
10844,580,99089,1295,2461,2501,2497,1369,865,439,943,468,552,720,983,5172,5037,5714,9673,625,2829,1250,6086,4083,3297,1101,4412,11949,1876,1081,1212,26155,1535,927,27297,573,889
48095,335,357,931,626,2393,2645,621,997,440,446,476,555,1127,5299,4996,702,1075,2083,2422,3143,5901,4497,5525,1720,2018,1588,1045,1211,4719,24661,6095,5817,66872,10904,1306,4567
201,370,680,382,442,2385,2541,336,1371,956,472,687,655,1492,2784,5282,6770,997,3185,14320,2456,2897,3367,696,2043,2224,8603,11790,1235,4060,20684,27452,19960,67020,11557,25776,1582
197,528,366,530,439,2359,2482,384,682,433,443,436,1841,634,2831,4545,701,1983,838,2425,2479,1852,340,6489,5028,2417,1756,13744,14091,916,1141,26752,995,65844,14305,24587,980
23048,5402,633,1646,990,2365,2587,2639,75644,359,474,458,875,3436,742,5177,751,1781,1937,2399,3293,2909,5618,438,10239,650,1303,6563,3564,595,22098,5937,52917,1012,24239,4650,1819
657,315,317,714,2299,2176,2220,490,712,392,1525,472,1252,1521,2482,5340,599,9109,2076,1328,3354,2809,2963,5458,2372,2749,8416,31117,12784,619,2441,25981,1100,16525,9595,18145,1997
293,615,604,566,1577,2321,2243,575,357,445,370,396,5619,2381,7805,4697,1206,3378,1963,2670,2663,3013,255,7497,4505,358,1766,11732,1872,1041,1620,27653,41614,1341,1561,101225,28708
216,251,357,661,528,2315,2199,500,852,345,360,432,707,2344,5187,386,6023,4508,1954,2406,3016,596,2997,4300,2287,14808,766,4082,14065,36888,5395,5987,21846,2986,916,1791,1314
243,687,305,638,386,2424,2211,12346,936,1985,443,647,805,652,561,5161,766,977,2247,2848,2300,3300,7867,1759,2007,7912,780,6118,12340,894,21746,27732,54471,964,4625,24532,395585
11289,684,678,1466,300,2156,436,1155,2370,411,1583,666,761,1003,1785,5487,1166,1812,2058,2361,3119,1785,687,4330,1883,1081,1668,2453,1013,628,20667,5642,4572,62304,11344,30333,1176
240,271,395,13502,382,2468,628,2419,559,384,451,364,652,790,12017,5156,1359,4377,1386,2379,1427,908,2942,4255,13453,1022,2366,6406,1156,25047,1293,23542,57034,67219,9473,26938,726
12040,72091,357,461,1944,2175,2189,1443,2948,402,410,668,704,2531,6152,5044,14355,612,539,2421,2404,2752,3629,5497,2429,575,17995,14727,1134,3656,21552,23938,19047,996,11368,28762,1412
209,276,1370,373,12303,2154,1501,620,723,2533,416,432,3373,1080,2417,4984,8354,1881,2228,2673,1405,3115,6024,5704,10942,456,975,2350,1147,648,21932,24508,60435,1092,13850,1562,1600
655,95159,493,86983,2219,2270,2378,648,746,378,394,1870,2566,2422,564,1833,7020,9216,2152,963,2871,1433,317,5679,2090,21905,26477,6338,631,19442,1027,23703,51815,1078,14043,1069,4213
225,590,328,1630,2312,2295,1804,599,623,371,1621,432,518,359,2642,600,4904,1010,2558,2577,2875,2981,3032,5700,5282,2492,1437,986,1254,4446,22512,25580,36306,62683,16146,27711,1436
229,709,256,698,2647,2178,1098,614,719,346,412,372,1459,645,2570,5240,4706,329,2288,2250,3126,3003,6206,4084,2499,1039,1980,2008,1236,1028,1961,23680,6005,1093,23701,484094,2269
199,270,257,1408,2487,2309,1418,594,478,370,354,401,1713,633,4912,4851,6389,1002,229125,2521,922,3349,5259,5873,2736,1038,999,5521,1185,3921,11263,38388,22735,1092,23115,3293,16877
189,598,109218,573,1602,2352,2547,544,944,371,434,420,760,1792,2597,5530,4964,1741,2238,1432,2355,3127,266,5815,2036,2112,9533,1188,1215,13468,1530,24867,38725,842,4089,23271,1662
308,290,1084,247,502,2327,34993,516,675,401,374,384,633,781,1239,5641,1214,8794,2609,2410,2971,2656,4733,5051,3906,1324,1949,13639,1209,4547,23889,5672,43215,836,714,28226,1916
226,18697,634,415,921,2194,2512,575,629,836,425,428,686,89112,2614,2587,1057,1735,1907,2188,2915,2674,5265,5883,3881,314,9302,14680,3488,1198,19364,23221,60339,1261,20768,20078,730
5590,595,483,1433,2154,2325,2198,527,1685,279,365,349,292,1812,1933,4720,5813,900,5354,2212,959,3073,292,1548,794,4018,996,1415,1013,4145,21913,24012,22461,2453,16097,25333,1802
713,50567,642,82517,2232,2190,2204,641,535,389,445,357,660,597,3963,2462,9074,739,2395,2379,3255,3488,5243,3943,14314,2243,748,1020,1143,593,1196,23875,55217,97879,909,28239,490
27332,1199,1633,521,1911,2652,211,269,707,372,378,683,888,564,12486,4641,647,1784,2410,2152,2173,2754,3860,5138,3998,7871,2173,29929,4185,1247,1319,5669,54953,939,2433,23071,1713
9635,520,592,1353,92823,2148,2179,14150,4139,366,415,385,1991,609,527,5382,8075,1033,2264,2477,2834,1465,2448,7470,1296,6994,1057,1031,4026,5513,1678,25821,842,842,9586,10975,1296
205,555,273,445,489,2382,1702,645,658,262,371,390,739,2250,1361,5358,664,9310,14214,666,1437,1157,5557,5894,3279,974,912,3599,1104,1260,21342,5764,43455,1083,691,13078,915
59372,588,364,12465,1517,2681,13649,662,1160,371,348,355,675,543,2252,5133,1224,6586,3208,2246,2976,2716,2910,1992,1990,111259,1744,1121,1077,1739,1188,23794,20259,61888,1095,4190,2840
191,252,696,1525,979,2177,1776,579,396,893,352,14547,899,1768,1700,660,6454,820,2129,2068,2931,2998,2827,4996,1210,524,1373,6008,14525,7398,1266,23364,4210,63418,14581,24583,1533
620,578,601,1450,1542,2339,2179,536,768,411,379,359,635,985,475,6019,644,1536,462,2232,2771,10020,1075,5300,1918,721,4877,6515,11665,1337,1722,2377,1513,983,1007,26659,1469
243,314,766,1954,1347,2246,2674,524,581,313,415,417,2539,1597,14669,5739,1562,1833,4196,543,2212,1218,312,5058,2148,1051,2068,6431,15186,24415,31509,5258,20097,964,13745,28276,140728
467,568,262,496,1707,2237,472,1059,3701,426,359,941,46924,1427,2873,4824,1756,8633,2868,2061,2765,3065,264,407,987,5920,717,1068,1224,2620,484,25242,796,769,15929,1167,1327
220,550,815,1451,2361,2234,3244,1175,615,380,1499,717,558,579,4611,5504,1226,8810,4829,2197,2996,1088,3039,5376,2656,1907,20219,1007,1224,16002,1054,37385,54922,1006,11766,1667,746
205,584,394,350,1087,2486,1483,494,683,850,373,14355,646,2371,2466,5581,651,1544,1353,2202,2245,1139,1212,405,3280,940,2107,6308,1935,1708,29025,25277,5927,62077,4160,1012,7908
197,441,718,1728,1859,2191,11918,527,12100,809,393,745,832,567,2586,378,4224,5955,2025,2349,1405,1312,279,688,9364,600,1776,6303,1048,3842,975,23498,55115,909,883,26242,1295
196,294,272,441,1055,2185,2282,487,586,577,347,376,631,1359,1348,5024,1934,1751,1910,664,1424,2869,3405,7123,5174,23099,9559,13044,12485,24317,13907,5666,55323,60948,800,29072,1917
224,675,343,373,581,2170,2460,492,688,848,349,402,686,1614,2637,1068,4177,230,570,2124,2428,2984,2708,6134,3392,428,2876,2802,14167,1071,22324,22292,18596,827,3898,4981,870
334,322,590,2330,2340,2310,2308,12933,564,360,354,384,727,4488,2689,5017,553,1697,1891,2334,2372,2744,5656,5316,1336,2011,2812,1128,10726,4095,1678,25092,21031,766,11119,1045,663
188,88673,361,1008,2323,2196,2478,516,3605,359,407,658,716,542,4829,5081,6127,831,2518,2275,2711,2881,582,4991,1477,1040,2018,5965,1170,4783,1660,22553,37617,982,10887,1354,1391
204,546,630,1420,899,2198,2283,532,2634,774,1646,358,458,631,1889,4917,1153,1429,1942,2048,1608,1224,3616,4161,2279,16959,803,5637,12710,3533,4032,23179,1602,1009,2228,23140,27418
666,362,406,1450,1298,2157,2258,597,633,850,387,538,574,2266,2403,4700,616,918,1187,3361,1426,604,2846,6044,15281,4259,20356,1047,692,805,1538,22677,19571,65942,14616,28567,851
188,336,546,1178,2273,2307,25313,534,3761,809,374,360,565,839,2554,5089,1040,747,211,2279,2122,2799,6787,7317,9317,1067,808,5508,1088,27053,20719,39740,1166,1345,12822,1198,1288
179,315,415,1479,1954,2168,2304,605,543,442,383,390,4870,1522,2213,4763,1598,1670,569,2543,3040,3012,6733,1750,1599,2246,761,1738,12000,956,1234,23308,61634,561,37943,21810,1302
217,675,324,491,2352,2335,2412,530,632,362,375,453,596,648,4411,4761,4548,1566,2241,2351,3166,878,3153,4059,4203,2883,4665,12050,14133,1004,17935,23767,19851,694,13592,24207,1082
195,286,569,977,541,2382,2713,539,645,854,348,367,675,610,2189,5494,1998,1219,2031,2078,2773,2600,1085,5061,2100,1279,3598,12050,1100,9548,22068,26770,86571,933,1340,25034,4859
184,568,621,1540,2322,2364,2138,565,1035,421,423,383,1497,2107,665,9930,1072,584,1824,2092,2607,1235,2815,6141,589,304,6756,32911,1069,21668,1633,25805,57202,812,937,1064,135410
180,279,685,404,448,2414,2475,1707,1891,370,828,374,603,528,1694,4793,4744,296,1851,2255,3198,3742,5455,4984,2158,1137,752,5545,1015,1019,20401,25110,57089,921,10325,15183,4660
195,550,324,1197,430,2320,2164,532,1898,348,377,373,581,2400,520,4757,2573,1825,2794,2389,2933,2884,2860,5256,2201,987,3883,3502,1072,596,1574,5664,18442,26325,23898,14854,1131
195,317,633,604,1709,2135,2306,531,828,433,395,377,607,1875,2634,5086,1109,1324,1064,2265,1393,885,387,5266,12782,987,446,2156,1154,765,2212,26066,55699,1528,3857,20280,2420
189,822,303,1333,2186,2221,1112,540,779,391,410,853,586,570,3081,4827,4999,3281,10555,2362,2898,1274,334,2147,12626,21877,1361,5501,1081,3545,1464,23452,52652,69083,10287,1580,2456
181,21258,348,1465,1443,2205,2199,19319,592,869,382,430,2930,935,2436,4939,3016,5255,257,2131,2368,2784,2477,1661,2703,17487,4245,5899,13412,3615,22222,23981,52521,975,13610,24782,5593
431,2822,340,1330,1857,2347,1541,756,1742,766,493,348,615,2008,8420,4563,4594,806,1897,2141,2888,2767,982,4179,1159,14105,440,5984,824,1107,32456,26718,1430,71226,11353,4497,1030
193,617,379,374,722,2516,2319,1369,601,351,386,402,1432,4108,645,5747,582,1795,3031,550,2215,9339,2728,5404,2029,3662,11340,5447,1014,6723,20497,25232,5712,56887,16052,19750,1703
228,11847,341,1648,1715,2327,2646,497,616,353,410,376,606,651,619,5179,842,1607,271,1542,3000,660,4890,390,5481,2779,7942,5551,1713,1086,33615,23656,1098,789,2884,23964,5091
191,859,700,1677,2168,2300,2160,503,449,364,392,351,554,541,2635,5046,5028,1763,499,2282,2376,2882,4964,416,574,973,455,5486,1809,9323,5083,22876,817,992,22575,25881,1185
197,278,975,485,2138,2145,2287,508,690,773,417,412,2272,665,1900,4970,2259,8620,2692,1937,2254,1704,265,601,2020,1972,945,1974,3450,14912,3842,24615,84573,969,1486,28893,807
