seed,len
1,295
2,295
3,368
4,368
5,368
6,368
7,368
8,368
9,368
10,368
11,368
12,368
13,368
14,371
15,371
16,371
17,371
18,371
19,371
20,371
21,371
22,371
23,371
24,371
25,371
26,371
27,371
28,371
29,371
30,371
31,371
32,371
33,449
34,449
35,449
36,449
37,449
38,449
39,449
40,449
41,449
42,449
43,513
44,513
45,513
46,513
47,513
48,513
49,513
50,513
51,513
52,513
53,513
54,513
55,513
56,513
57,513
58,513
59,513
60,513
61,513
62,513
63,513
64,513
65,513
66,513
67,522
68,522
69,522
70,522
71,522
72,527
73,598
74,598
75,598
76,598
77,598
78,598
79,598
80,598
81,598
82,598
83,618
84,618
85,618
86,618
87,618
88,618
89,618
90,618
91,618
92,624
93,624
94,632
95,632
96,639
97,639
98,661
99,661
100,661
101,661
102,661
103,661
104,661
105,661
106,661
107,661
108,661
109,661
110,661
111,661
112,661
113,661
114,661
115,661
116,661
117,661
118,661
119,661
120,661
121,661
122,661
123,661
124,661
125,661
126,661
127,661
128,661
129,661
130,661
131,661
132,661
133,661
134,661
135,682
136,682
137,682
138,699
139,699
140,699
141,699
142,741
143,741
144,752
145,752
146,752
147,752
148,752
149,752
150,752
151,752
152,752
153,752
154,752
155,795
156,795
157,795
158,795
159,795
160,795
161,795
162,795
163,795
164,795
165,795
166,795
167,795
168,795
169,795
170,795
171,847
172,847
173,847
174,847
175,856
176,856
177,882
178,882
179,882
180,897
181,897
182,897
183,897
184,897
185,897
186,897
187,897
188,897
189,897
190,913
191,913
192,913
193,913
194,913
195,913
196,913
197,915
198,915
199,915
200,915
201,915
202,935
203,935
204,951
205,954
206,954
207,954
208,954
209,954
210,954
211,954
212,954
213,954
214,954
215,954
216,954
217,954
218,954
219,954
220,954
221,954
222,954
223,954
224,954
225,954
226,954
227,954
228,954
229,954
230,954
231,954
232,954
233,954
234,954
235,954
236,954
237,954
238,954
239,954
240,954
241,954
242,954
243,954
244,954
245,954
246,954
247,954
248,954
249,954
250,954
251,954
252,954
253,1005
254,1005
255,1005
256,1005
257,1005
258,1005
259,1005
260,1005
261,1005
262,1041
263,1041
264,1041
265,1041
266,1041
267,1041
268,1041
269,1041
270,1041
271,1041
272,1041
273,1041
274,1070
275,1070
276,1070
277,1070
278,1070
279,1070
280,1070
281,1070
282,1070
283,1070
284,1070
285,1070
286,1070
287,1070
288,1070
289,1070
290,1070
291,1070
292,1070
293,1070
294,1070
295,1070
296,1070
297,1070
298,1070
299,1070
300,1070
301,1070
302,1070
303,1070
304,1070
305,1070
306,1070
307,1070
308,1070
309,1070
310,1070
311,1070
312,1070
313,1070
314,1070
315,1070
316,1070
317,1070
318,1070
319,1070
320,1070
321,1070
322,1070
323,1070
324,1070
325,1070
326,1070
327,1070
328,1070
329,1070
330,1070
331,1070
332,1070
333,1070
334,1070
335,1070
336,1070
337,1070
338,1070
339,1070
340,1070
341,1070
342,1070
343,1070
344,1070
345,1070
346,1070
347,1070
348,1070
349,1070
350,1070
351,1070
352,1070
353,1070
354,1070
355,1070
356,1070
357,1070
358,1070
359,1070
360,1070
361,1070
362,1070
363,1070
364,1070
365,1070
366,1070
367,1070
368,1070
369,1070
370,1070
371,1070
372,1070
373,1070
374,1070
375,1070
376,1070
377,1070
378,1070
379,1070
380,1070
381,1070
382,1070
383,1070
384,1070
385,1070
386,1070
387,1070
388,1070
389,1070
390,1070
391,1070
392,1070
393,1070
394,1070
395,1070
396,1070
397,1070
398,1070
399,1070
400,1070
401,1070
402,1070
403,1070
404,1070
405,1070
406,1070
407,1070
408,1070
409,1070
410,1070
411,1070
412,1070
413,1070
414,1070
415,1070
416,1070
417,1070
418,1070
419,1070
420,1070
421,1070
422,1070
423,1070
424,1070
425,1070
426,1070
427,1070
428,1070
429,1070
430,1070
431,1070
432,1070
433,1070
434,1070
435,1070
436,1070
437,1070
438,1070
439,1070
440,1070
441,1070
442,1070
443,1070
444,1070
445,1070
446,1070
447,1070
448,1070
449,1070
450,1070
451,1070
452,1070
453,1070
454,1070
455,1070
456,1070
457,1070
458,1070
459,1070
460,1070
461,1070
462,1070
463,1070
464,1070
465,1070
466,1070
467,1070
468,1070
469,1070
470,1070
471,1070
472,1070
473,1070
474,1070
475,1070
476,1070
477,1070
478,1070
479,1070
480,1070
481,1070
482,1070
483,1070
484,1070
485,1070
486,1070
487,1070
488,1070
489,1070
490,1070
491,1070
492,1070
493,1070
494,1070
495,1070
496,1070
497,1070
498,1070
499,1070
500,1070
501,1070
502,1070
503,1070
504,1070
505,1070
506,1070
507,1070
508,1070
509,1070
510,1070
511,1070
512,1070
513,1070
514,1070
515,1070
516,1070
517,1070
518,1070
519,1070
520,1070
521,1070
522,1070
523,1070
524,1070
525,1070
526,1070
527,1070
528,1070
529,1070
530,1070
531,1070
532,1070
533,1070
534,1070
535,1070
536,1070
537,1070
538,1070
539,1070
540,1070
541,1070
542,1070
543,1070
544,1070
545,1070
546,1070
547,1070
548,1070
549,1070
550,1070
551,1070
552,1070
553,1070
554,1070
555,1070
556,1070
557,1070
558,1070
559,1070
560,1070
561,1070
562,1070
563,1070
564,1070
565,1070
566,1070
567,1070
568,1070
569,1070
570,2847
571,2847
572,3302
573,3302
574,3723
575,3723
576,3723
577,3723
578,3723
579,3723
580,6184
581,6184
582,6184
583,7630
584,7630
585,7630
586,7630
587,7630
588,7630
589,7630
590,7630
591,7630
592,7630
593,7630
594,7630
595,7630
596,7630
597,7630
598,7630
599,7630
600,7630
601,7630
602,7630
603,7630
604,7630
605,7630
606,7630
607,7630
608,7630
609,7630
610,7630
611,7630
612,7630
613,7630
614,7630
615,7630
616,7630
617,7630
