seed,len
640,-8
641,-9
642,-8
643,-11
644,-7
645,-8
646,-10
647,-10
648,-9
649,-8
650,-7
651,-12
652,-13
653,-7
654,-8
655,-7
656,-8
657,-9
658,-7
659,-12
660,-9
661,-9
662,-8
663,-9
664,-7
665,-9
666,-9
667,-9
668,-9
669,-9
670,-10
671,-8
672,-9
673,-9
674,-7
675,-14
676,-10
677,-10
678,-8
679,-9
680,-9
681,-10
682,-11
683,-9
684,-7
685,-9
686,-7
687,-8
688,-8
689,-12
690,-9
691,-9
692,-10
693,-8
694,-14
695,-10
696,-14
697,-10
698,-10
699,-11
700,-8
701,-8
702,-7
703,-10
704,-9
705,-12
706,-8
707,-10
708,-13
709,-12
710,-10
711,-8
712,-10
713,-10
714,-8
715,-11
716,-10
717,-10
718,-12
719,-11
720,-8
721,-13
722,-9
723,-15
724,-13
725,-10
726,-10
727,-9
728,-10
729,-8
730,-10
731,-12
732,-13
733,-8
734,-8
735,-11
736,-15
737,-8
738,-13
739,-8
740,-8
741,-11
742,-12
743,-11
744,-10
745,-10
746,-10
747,-10
748,-14
749,-12
750,-13
751,-12
752,-10
753,-8
754,-10
755,-8
756,-10
757,-14
758,-12
759,-11
760,-14
761,-8
762,-8
763,-11
764,-8
765,-8
766,-16
767,-12
768,-14
769,-11
770,-10
771,-10
772,-10
773,-15
774,-13
775,-16
776,-9
777,-14
778,-8
779,-11
780,-12
781,-11
782,-11
783,-11
784,-12
785,-9
786,-11
787,-11
788,-12
789,-13
790,-12
791,-16
792,-9
793,-13
794,-12
795,-14
796,-11
797,-12
798,-15
799,-15
800,-9
801,-15
802,-15
803,-12
804,-15
805,-16
806,-16
807,-12
808,-16
809,-9
810,-12
811,-12
812,-15
813,-15
814,-15
815,-9
816,-12
817,-12
818,-12
819,-12
820,-12
821,-12
822,-12
823,-9
824,-13
825,-16
826,-12
827,-13
828,-17
829,-17
830,-12
831,-12
832,-18
833,-18
834,-10
835,-16
836,-10
837,-10
838,-11
839,-13
840,-16
841,-14
842,-20
843,-11
844,-13
845,-14
846,-14
847,-13
848,-10
849,-17
850,-17
851,-13
852,-13
853,-10
854,-14
855,-14
856,-19
857,-17
858,-14
859,-17
860,-15
861,-11
862,-11
863,-15
864,-15
865,-14
866,-18
867,-14
868,-17
869,-15
870,-11
871,-11
872,-14
873,-12
874,-15
875,-18
876,-18
877,-14
878,-18
879,-18
880,-16
881,-18
882,-16
883,-14
884,-14
885,-18
886,-18
887,-18
888,-18
889,-18
890,-11
891,-12
892,-14
893,-14
894,-14
895,-14
896,-18
897,-12
898,-14
899,-21
900,-17
901,-15
902,-15
903,-15
904,-12
905,-16
906,-11
907,-15
908,-15
909,-11
910,-12
911,-21
912,-21
913,-21
914,-17
915,-11
916,-14
917,-19
918,-15
919,-16
920,-4
921,-18
922,-17
923,-21
924,-21
925,-15
926,-15
927,-16
928,-17
929,-17
930,-13
931,-16
932,-12
933,-21
934,-15
935,-17
936,-15
937,-15
938,-12
939,-15
940,-17
941,-18
942,-18
943,-12
944,-16
945,-18
946,-17
947,-20
948,-12
949,-20
950,-20
951,-16
952,-15
953,-17
954,-14
955,-14
956,-18
957,-21
958,-18
959,-18
960,-16
961,-16
962,-17
963,-18
964,-14
965,-14
966,-14
967,-21
968,-22
969,-17
970,-17
971,-23
972,-16
973,-16
974,-22
975,-21
976,-14
977,-17
978,-16
979,-16
980,-17
981,-13
982,-18
983,-25
984,-16
985,-19
986,-18
987,-19
988,-18
989,-16
990,-17
991,-18
992,-22
993,-19
994,-14
995,-14
996,-21
997,-17
998,-18
999,-13
1000,-16
1001,-25
1002,-17
1003,-18
1004,-22
1005,-17
1006,-18
1007,-16
1008,-22
1009,-24
1010,-25
1011,-19
1012,-18
1013,-14
1014,-23
1015,-22
1016,-14
1017,-18
1018,-14
1019,-15
1020,-14
1021,-18
1022,-23
1023,-16
1024,-21
1025,-22
1026,-19
1027,-17
1028,-16
1029,-19
1030,-19
1031,-27
1032,-24
1033,-19
1034,-20
1035,-15
1036,-18
1037,-27
1038,-21
1039,-14
1040,-21
1041,-14
1042,-23
1043,-23
1044,-23
1045,-18
1046,-27
1047,-24
1048,-22
1049,-20
1050,-14
1051,-21
1052,-20
1053,-20
1054,-15
1055,-18
