seed,len
800,99
801,99
802,79
803,41
804,82
805,80
806,47
807,84
808,100
809,100
810,102
811,103
812,101
813,100
814,102
815,105
816,104
817,100
818,104
819,100
820,102
821,105
822,96
823,101
824,51
825,105
826,41
827,40
828,81
829,74
830,96
831,106
832,58
833,46
834,67
835,70
836,40
837,61
838,68
839,58
840,81
841,66
842,93
843,105
844,69
845,71
846,68
847,83
848,52
849,81
850,47
851,73
852,36
853,87
854,67
855,88
856,47
857,10
858,64
859,42
860,78
861,69
862,61
863,102
864,81
865,75
866,65
867,53
868,58
869,40
870,99
871,40
872,107
873,107
874,107
875,72
876,99
877,72
878,61
879,77
880,73
881,49
882,48
883,91
884,95
885,61
886,88
887,61
888,79
889,36
890,43
891,86
892,44
893,47
894,40
895,83
896,57
897,76
898,43
899,60
900,64
901,38
902,51
903,105
904,64
905,75
906,92
907,97
908,108
909,108
910,108
911,97
912,110
913,110
914,111
915,109
916,111
917,111
918,111
919,109
920,108
921,70
922,108
923,112
924,112
925,114
926,114
927,114
928,114
929,112
930,115
931,112
932,115
933,115
934,58
935,36
936,116
937,87
938,65
939,50
940,67
941,88
942,29
943,50
944,50
945,68
946,50
947,91
948,65
949,48
950,43
951,75
952,65
953,66
954,99
955,91
956,50
957,91
958,82
959,117
960,91
961,58
962,49
963,62
964,53
965,58
966,77
967,87
968,48
969,54
970,47
971,82
972,50
973,41
974,83
975,50
976,52
977,79
978,50
979,48
980,60
981,38
982,46
983,62
984,36
985,101
986,28
987,28
988,64
989,44
990,80
991,114
992,112
993,49
994,59
995,116
996,54
997,57
998,46
999,101
1000,41
1001,90
1002,39
1003,70
1004,67
1005,37
1006,60
1007,57
1008,45
1009,118
1010,58
1011,59
1012,63
1013,75
1014,49
1015,40
1016,43
1017,45
1018,57
1019,76
1020,79
1021,36
1022,95
1023,46
1024,38
1025,8
1026,62
1027,96
1028,31
1029,77
1030,31
1031,31
1032,6
1033,66
1034,41
1035,49
1036,102
1037,74
1038,12
1039,66
1040,50
1041,50
1042,27
1043,111
1044,50
1045,53
1046,55
1047,56
1048,55
1049,65
1050,36
1051,60
1052,98
1053,103
1054,119
1055,119
1056,119
1057,119
1058,30
1059,9
1060,39
1061,2
1062,2
1063,116
1064,8
1065,24
1066,7
1067,16
1068,22
1069,20
1070,36
1071,52
1072,33
1073,76
1074,38
1075,58
1076,41
1077,58
1078,48
1079,46
1080,3
1081,55
1082,2
1083,8
1084,55
1085,3
1086,7
1087,78
1088,8
1089,3
1090,6
1091,13
1092,52
1093,74
1094,111
1095,80
1096,41
1097,86
1098,44
1099,40
1100,43
1101,21
1102,88
1103,1
1104,47
1105,84
1106,36
1107,37
1108,46
1109,95
1110,76
1111,56
1112,42
1113,52
1114,55
1115,75
1116,37
1117,5
1118,2
1119,3
1120,42
1121,4
1122,36
1123,55
1124,68
1125,3
1126,57
1127,56
1128,12
1129,100
1130,38
1131,68
1132,21
1133,17
1134,24
1135,17
1136,36
1137,16
1138,101
1139,24
1140,45
1141,56
1142,5
1143,67
1144,40
1145,13
1146,104
1147,52
1148,57
1149,1
1150,64
1151,2
1152,82
1153,95
1154,38
1155,37
1156,40
1157,75
1158,32
1159,7
1160,6
1161,8
1162,27
1163,2
1164,13
1165,100
1166,14
1167,2
1168,65
1169,2
1170,54
1171,6
1172,4
1173,43
1174,15
1175,43
1176,8
1177,20
1178,83
1179,2
1180,13
1181,7
1182,3
1183,70
1184,2
1185,1
1186,2
1187,13
1188,12
1189,8
1190,74
1191,15
1192,4
1193,45
1194,1
1195,77
1196,22
1197,77
1198,79
1199,3
1200,57
1201,16
1202,4
1203,50
1204,1
1205,16
1206,3
1207,21
1208,52
1209,80
1210,21
1211,5
1212,28
1213,55
1214,46
1215,14
1216,113
1217,120
1218,120
1219,46
1220,120
1221,92
1222,8
1223,3
1224,21
1225,28
1226,4
1227,5
